Language,Namespace,Key
de,common,meta.title
de,common,accountBasics.errors.newPasswordRequired
de,common,dashboard.onboarding.step4.company_description
de,common,[data-event-id]
de,common,errors.accessDenied
de,common,subscription.facility.basic.title
de,common,a
de,common,dashboard.onboarding.phoneVerification.codeSent
de,common,subscription.features.facility.basic.basicPosting
de,common,click
de,common,,
de,common,jobPreferences.compensationTitle
de,common,Document updated successfully!
de,common,auth.forgotPassword.button
de,common,sidebar.search
de,common,accountBasics.enable2FA
de,common,subscription.facility.premium.price
de,common,settings.accountDeletion.reauthTitle
de,common,accountBasics.emailNotVerified
de,common,dashboard.onboarding.step1.termsOfService
de,common,operations.generateInvitationLink
de,common,accountBasics.deleteAccountButton
de,common,cookies.title
de,common,common.other
de,common,settings.accountDeletion.confirmTitle
de,common,tableOfContents
de,common,hero.description
de,common,subscription.youAreOnThisPlan
de,common,T
de,common,documents.education
de,common,settings.contractSettingsTitle
de,common,accessLevelChoice.continueProfile
de,common,dashboard.onboarding.phoneVerification.verifyFailed
de,common,missionVision.insightSection.paragraph1
de,common,Error sending reminder email
de,common,accountBonusEligibility
de,common,Error assigning shift
de,common,Enter name
de,common,.calendar-scroll-container
de,common,settings.subtitle
de,common,subscription.upgraded
de,common,accountBasics.deleted
de,common,firebase/functions
de,common,../admin/pages/finance/AccountsReceivable
de,common,subscription.classic.title
de,common,settings.contractSettingsDescription
de,common,repeatDays
de,common,accountBasics.changePassword
de,common,../admin/pages/management/EmployeeManagement
de,common,sidebar.recentPosts
de,common,auth.login.rememberMe
de,common,auth.login.subtitle
de,common,settings.accountDeletion.retentionPeriod
de,common,../admin/UserVerificationQueue
de,common,accountBasics.2faIsDisabledMessage
de,common,auth.signup.verifying
de,common,jobPreferences.currentWorkPercentageOptional
de,common,story.paragraph1
de,common,contact.form.company
de,common,operations.sendInvitation
de,common,tabs.deleteAccount
de,common,billingInformation.yourEmail
de,common,dashboard.onboarding.step1.professionalLegalText1
de,common,dashboard.onboarding.phoneVerification.phoneRequired
de,common,accountBasics.passwordUpdated
de,common,auth.forgotPassword.sending
de,common,billingInformation.verificationMethod
de,common,accountBasics.email
de,common,accountBasics.reauthenticateMessageGoogleDelete
de,common,job_application
de,common,settings.accountDeletion.error
de,common,documents.title
de,common,settings.leaveFacility.confirm
de,common,accountBasics.errors.invalidFileType
de,common,common.saveAndContinue
de,common,No professional users found.
de,common,auth.invitation.notFound
de,common,token
de,common,operations.shareWhatsApp
de,common,contact.form.inquiryType.options.facility
de,common,contact.form.errors.messageRequired
de,common,../../utils/adminUtils
de,common,title
de,common,dashboard.onboarding.errors.no_record_found
de,common,auth.invitation.title
de,common,contactCta.button
de,common,dashboard.navigation.messages
de,common,dashboard.onboarding.phoneVerification.enterCode
de,common,accessLevelChoice.teamAccess.benefit2
de,common,subscription.features.facility.standard.unlimitedPosting
de,common,dashboard.onboarding.phoneVerification.invalidPhone
de,common,errors.popupClosed
de,common,facilityDetails.subtitle
de,common,userMenu.profile
de,common,contact.form.inquiryType.options.partnership
de,common,auth.errors.invalidEmail
